Serial,Time,Username,Observer,Tree ID,Date,Date,Julian,Season,Species,Latitude,Longitude,Urbanization,Habitat,Shading,Circumference,LeafColor,LeafDropping,Fruit,LeafBud,LeafUnfurled,Flowering,Damage,Comments
1085,09/21/2016 - 10:57am,,,28,9/21/16,9/21/16,,Fall,Sugar Maple,44.611443,-75.16954,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),17,Early:  Only a few leaves have turned color (less than 10%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
1086,09/21/2016 - 10:00am,,,,9/21/16,9/21/16,,Fall,Sugar Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,missing little branches.,
1087,09/21/2016 - 1:49pm,,,70,9/21/16,9/21/16,,Fall,Red Maple,44.56,-74.95,Yes,School lawn,Partially Shaded (2-5hr per day of direct sun),21,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,"holes, missing branches ",
1088,09/21/2016 - 12:42pm,,,21,9/21/16,9/21/16,,Fall,Red Maple,44.824019,-74.516411,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),49,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,"broken branches 

",
1089,09/23/2016 - 10:47am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82259,-74.517016,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),20,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,, yes it has a broken branch,
1090,09/23/2016 - 10:47am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82259,-74.517016,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Open (more than 5hr per day of direct sun),56,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,broken branch,
1091,09/23/2016 - 9:17am,,,32,9/23/16,9/23/16,,Fall,Sugar Maple,44.82406,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,tap hole from taking sap,we named him Edward
1092,09/23/2016 - 10:48am,,,46,9/23/16,9/23/16,,Fall,Red Maple,44.82259,-74.517016,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
1093,09/23/2016 - 10:47am,,,,9/23/16,9/23/16,,Fall,Red Maple,44.82259,-71.517016,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),20,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,none,
1094,09/23/2016 - 12:53pm,,,,9/23/16,9/23/16,,Fall,Red Maple,44.822885,-74.51625,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),Late:  Most or all fruits or seeds have been dispersed from tree (over 90%),,,,broken branch,we named it alex and it is very tall!
1095,09/23/2016 - 10:47am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82259,-74.517016,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),150,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,fonges,
1096,09/23/2016 - 12:53pm,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.822885,-74.51625,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),41,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,not bad,
1097,09/23/2016 - 12:53pm,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.822885,-74.51625,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),22,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,no it did not.,
1098,09/23/2016 - 12:54pm,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.822885,-74.516225,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),27,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,broken branch,"two smaller branches have been cut off by landscaping crew at some point in the past, some lichen on bark of trunk, full, healthy canopy"
1099,09/23/2016 - 12:54pm,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.822885,-74.51625,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),45,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,Two holes,
1100,09/23/2016 - 9:13am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82406,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),21,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,mossy,white splotches on the branch bark
1101,09/23/2016 - 9:13am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82406,-74.513843,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),52,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,Sugar maple is a few feet from public parking lot. Large about of mulch at base of  tree.
1102,09/23/2016 - 9:16am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82407,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),31,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),Early:  Only a few ripe fruits are visible (less than 10%),,,,"missing branches

missing bark",
1103,09/23/2016 - 9:17am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82406,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),12,Late:  Most or all leaves have turned color (more than 90%),Late:  Most or all leaves have fallen (over 90%),None:  Tree is not fruiting this year,,,,"very small hole in bottom 

{not tapped}































",
1104,09/23/2016 - 9:17am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82407,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),8,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
1105,09/23/2016 - 9:18am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82406,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),84,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"missing limb, loss of bark, no diseases",
1106,09/23/2016 - 9:18am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82407,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"bark missing

one branch missing",
1107,09/23/2016 - 9:19am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82407,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),28,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
1108,09/23/2016 - 9:20am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82407,-75.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),3,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"missing branch





",
1109,09/23/2016 - 9:15am,,,,9/23/16,9/23/16,,Fall,Red Maple,44.82407,-74.513876,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),4,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
1110,09/23/2016 - 10:47am,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.82259,,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),25,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,None,
1111,09/23/2016 - 12:56pm,,,,9/23/16,9/23/16,,Fall,Sugar Maple,44.822885,-74.51625,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),1,Middle: Many leaves have turned color,Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,,
1112,11/04/2016 - 9:10am,,,207,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),26,Late:  Most or all leaves have turned color (more than 90%),Middle:  Many leaves have dropped,None:  Tree is not fruiting this year,,,,"fungi, wood chipped",
1113,11/04/2016 - 1:20pm,,,261,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),14,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
1114,11/04/2016 - 12:11pm,,,261,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),16,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,insects on leaves,
1115,11/04/2016 - 8:21am,,,261,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),16,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none,
1116,11/04/2016 - 9:10am,,,261,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),41,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,fungi,
1117,11/04/2016 - 12:08pm,,,262,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),13,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,dead leaves,
1118,11/04/2016 - 9:10am,,,262,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),12,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,fungus,
1119,11/22/2016 - 9:07am,,,262,11/22/16,11/22/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),12,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,
1120,11/04/2016 - 1:20pm,,,263,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),54,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,fungas and dead limes,our is tree is healthy and named Maple
1121,11/04/2016 - 12:08pm,,,263,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),29,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,"lichen,guls",Our tree name is THE G.O.A.T
1122,11/04/2016 - 8:21am,,,263,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),29,Middle: Many leaves have turned color,Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,Tree branches broken and split,
1123,11/04/2016 - 9:10am,,,263,11/4/16,11/4/16,,Fall,Silver Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),29,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,none to be found,Our tree is named Big Willy
1124,11/04/2016 - 1:20pm,,,264,11/4/16,11/4/16,,Fall,Norway Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),15,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,,no missing bark or unhealthy or unhealthy branches.
1125,11/04/2016 - 12:08pm,,,264,11/4/16,11/4/16,,Fall,Norway Maple,44.774797,-55.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),14,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,a small bit of fungus a piece of bark is missing,The trees name is Rock
1126,11/04/2016 - 12:12pm,,,264,11/4/16,11/4/16,,Fall,Norway Maple,44.774797,-74.987287,Yes,School lawn,Open (more than 5hr per day of direct sun),14,Early:  Only a few leaves have turned color (less than 10%),Early:  Only a few leaves have dropped (less than 10%),None:  Tree is not fruiting this year,,,,A small bit of Fungus and bark is missing.,Our tree is the coolest.
